Query,Documents content,Nilai/Ranking (0-3)
How is AI used in everyday life?,"life is generated where the automated machines work for humans, saving their time and energy. Basically, two types of assistants are considered for humans, manual (in the form of robots), and digital (Chatbots) which can perform risky, repetitive, and troublesome tasks. The task of developing such machines is accomplished by minutely studying the human behavior and implementing the logic in the form of algorithms resulting in inventions of software, devices, robots, etc., making human race smarter. There are many areas which contribute to artiﬁcial intelligence which includes mathematics (used for developing algorithms), biology, philosophy, psychology, neuroscience (for studying human mind and its behavior), statistics (for handling huge data), and last but not the least, computer science (to run the algorithm for implementing the concepts). The basic aim of AI is to provide more transparent, interpretable, and explainable systems which can help to establish a better-equipped system used as an intelligent agent. The concept of trusting machine as a replica of human started with the invent of turing test in which the machine is tested irrespective of the knowledge of examiner upon the instructions given considering it as human and if it passes the test, the machine is considered as intelligent. No wonder AI has affected many aspects of the society and presented a new modern era in this digital revolution. 1.1 Types of AI (Based on Capabilities) The various types of artiﬁcial intelligence based on the capabilities can be classiﬁed as – Weak or narrow AI – General AI – Strong AI. Introduction to Artiﬁcial Intelligence 25 Weak or narrow AI: it is a type of AI which can perform a predeﬁned narrow set of instructions without exhibiting any thinking capability. It is the most widely used type of AI in this world. Some famous examples are Apples’s Siri, Alexa, Alpha Go, IBM’s Watson supercomputer, Sophia (the humanoid) all belong to the weak AI type [3]. General AI: it is the type of AI which can perform the tasks like what human can do. Till now it is not achieved, there are no such machines which works like human or can think as perfectly as human, but it may happen in near future. Strong AI: it is the type of AI in which it is expected that the machine will surpass the capacity of human. It will perform better than humans, though it is tough, but it is not impossible. It may be the situation when it can be said that the machines will be the master and overtake humans. It has been considered as a great threat to the society by scientists including Stephen Hawking. 1.2 Types of AI (Based on Functionality) Based on the functionality, artiﬁcial intelligence can be classiﬁed as per the following types: (i) Reactive machines (ii) Limited memory (iii) Theory of mind (iv) Self-awareness. Reactive machines: these are the machines which works on the data available in the form of predeﬁned dataset. It does not have the facility of data storage for storing the past and future data. It completely depends on the present data. IBM’s chess program which defeated famous champion Garry Kasparov and the deep blue system, Google’s AlphaGo are some of the examples for reactive machines [3]. Limited memory: these are the machines which can store the past experience or store the memory for limited period of time. An example for limited memory AI is the self-driving cars (it can store the information like speed, distance, speed limit required for the navigation of the car). Theory of mind: these are types of machines, which are expected to understand the psychological and emotional aspects of human mind and work accordingly. So far such machines are a dream but scientists are working to develop such machines in near future. Self-awareness: these machines belong to a hypothetical concept that will be consid- ered as super-intelligent machines, which can think, act, and will be self-aware as they will have consciousness and sentiments like humans.",0
How is AI used in everyday life?,"AI can be categorized into two main types: 1. Narrow AI (or Weak AI): This type of AI is programmed to perform a narrow task like facial recognition, internet searches, or driving a car. Most of the AI encountered in day-to-day life, from chatbots to virtual assistants like Siri and Alexa, falls under this category. Artificial Intelligence (AI) represents a frontier in computer science, aiming to create machines capable of intelligent behavior. In essence, AI is the science and engineering of making intelligent machines, especially intelligent computer programs. It’s related to the similar task of using computers to understand human intelligence, but AI does not have to confine itself to biologically observable methods. Defining AI The definition of AI is often a topic of debate, but at its core, it involves machines that can perform tasks that typically require human intelligence. These tasks include planning, understanding language, recognizing objects and sounds, learning, and problem solving. We can consider AI to be a system that perceives its environment and takes actions to maximize its chance of successfully achieving its goals. Brief History of AI AI as a concept has been around for centuries, with roots in Greek mythology. Modern AI, however, began in the 20th century with the development of the Turing Test by Alan Turing, an attempt to define a standard for a machine to be called “intelligent.” The field of AI research was formally founded at a conference at Dartmouth College in 1956. Types of AI Recently in technology, two terms frequently come up: Artificial Intelligence (AI) and Machine Learning (ML). Often used interchangeably, these terms actually describe different, though closely related, concepts in the realm of computer science. The goal of this article is to explain these concepts in a simple, straightforward manner, making them accessible to those with little or no existing knowledge in the field. I aim to provide a clear understanding of both AI and ML, how they work, and what differentiates them. What is Artificial Intelligence (AI)? 2. General AI (or Strong AI): This is a type of AI that has a broader range and is more akin to human cognition. It can intelligently solve a variety of problems, learn new tasks, and perform a variety of tasks. General AI is still a largely theoretical concept, with no existing examples as of now. As AI becomes more integrated into our lives, ethical considerations are increasingly important. Issues like privacy, security, and the potential impact on employment are significant topics of discussion. Ensuring that AI benefits society while minimizing its risks is a challenge that needs ongoing attention. The Future of AI The future of AI promises advancements in various fields and the potential to solve complex global challenges. However, it also poses significant challenges and risks that need to be managed responsibly. Various technologies are used in AI, including: 1. Machine Learning: Allowing machines to learn from data. 2. Natural Language Processing: Enabling machines to understand and interact with human language. 3. Robotics: The field of creating robots that can perform tasks in the physical world. 4. Neural Networks: Computer systems modeled on the human brain and nervous system. AI is now a part of everyday life and is used in a range of sectors. For example, in healthcare, AI is used to predict patient risk and improve diagnostics. In finance, it’s used for algorithmic trading and risk management. In the consumer sector, AI powers personal assistants like Siri and Alexa, as well as recommendation systems used by companies like Netflix and Amazon. Ethical Considerations and Challenges AI Technologies AI in Everyday Life",3
How is AI used in everyday life?,"Introduction to AI VISHALI SRINIVASAN · Follow 5 min read · Mar 29, 2023 Listen Share More In today’s world, new technologies are designed to make our lives easier. One of these critical pieces of technology is AI. You might be familiar with AI’s application used in E-commerce : Personalized shopping — Recommendations are made in accordance with their browsing history, preferences, and interest. Lifestyle: Facial Recognition — Detect faces and identify in order to provide secure access. Social Media: Take Instagram, AI considers your likes and the accounts you follow to determine what posts you are shown on your explore tab. So, there are lot more applications which uses AI. For more details, you can check this website. You might be wondering “What is Artificial intelligence? How does artificial intelligence relate to machine learning and deep learning?” AI is often used as a catch-all term for ML and DL. However, there are many differences between them. So, it’s essential to learn what each term represents and the differences/relationships they share. Last chance! 6 days left! Get 20% off membership now Open in app Search 8/12/24, 11:00 AM Introduction to AI. In today’s world, new technologies are… | by VISHALI SRINIVASAN | Medium  1/13 Venn Diagram of AI, ML and DL Machine Learning is a sub-category of AI, and Deep Learning is a sub-category of ML, meaning they are both forms of AI. Now, lets look into what each term means. What is AI, ML, and DL? AI: Developing machines to mimic human intelligence and behavior Artificial intelligence is the broad idea that machines can intelligently execute tasks by mimicking human behaviors and thought process using algorithms, data, and models. AI predicts, automates, and complete tasks typically done by humans with greater accuracy and precision, reduces bias, cost and timesaving. What is learning? We learn things in certain ways. How do human generally learn? Remember, generalize and keep adapting to changing things. We will incorporate these things into machines. ML: Algorithms that learn from structured data to predict output and discover patterns in that data. Machine learning, a subset of AI, revolves around the idea that machines can learn and adapt through experiences and data to complete specific tasks. This uses methods from statistics, operational research, and physics to find hidden insights within data without being programmed where to look or what to conclude. Machine learning is used to develop self-learning processing where software is given instructions on accomplishing a specific task. An example would be predicting the weather forecast for the next seven days based on data from previous year and previous week. Every day, the data from the previous year/week changes, so the ML model must adapt to the new data. 8/12/24, 11:00 AM Introduction to AI. In today’s world, new technologies are… | by VISHALI SRINIVASAN | Medium  2/13 DL: Algorithms based on highly complex neural networks that mimic the way a human brain works to detect patterns in large unstructured datasets. Deep learning is a subset of ML. It is a evolution of machine learning and neural networks which uses advanced computer programming and training to understand complex patterns hidden in large dataset. DL is about understanding how the human brain works in different situations and then trying to recreate its behaviour. For example, deep learning (combined with computer vision) in a driverless car can identify a person crossing the road. Also, used for complicated problems such as facial recognition, defect detection and image processing. We will discuss examples regarding which type of situations to use ML/DL and the benefits of using one over the other in the following sections. When to use AI? Artificial intelligence is used when a machine completes a task using human intellect and behaviors. For example, Roomba, the smart robotic vacuum, uses AI to analyze the size of the room, obstacles, and pathways.",1
How is AI used in everyday life?,"A Brief Introduction to Artificial Intelligence Arpan Thind · Follow 8 min read · Nov 11, 2021 Listen Share More Source:  What is Artificial Intelligence? Artificial intelligence (AI) is the science of making machines smart using algorithms to help computers solve problems, which used to be solved only by humans. Most AI examples that you hear about today — like chatboxes to self-driving cars — rely heavily on deep learning and machine learning. Using these technologies, computers can be trained to accomplish specific tasks by processing large amounts of data and recognizing patterns in the data. A Brief History of Artificial Intelligence AI is not as modern as we think it is. AI dates all the way back to 1950 when Alan Turing created the Turing test. Later in the 1960s, ELIZA, the first chatbot program, was created. A chess computer was made by IBM in 1977, and it beat a world chess champion in two of its six games, while the champion won one, and the other three were all drawn. Apple introduced Siri as its digital assistant in 2011. Elon Musk and some others founded OpenAI in 2015. Different Types of Artificial Intelligence There are several of AI as outlined below: Analytic AI By using machine learning, including deep learning, one of the most advanced methods available, analytical AI can scan thousands of data points to uncover patterns and dependencies, ultimately assisting businesses in making informed decisions. Among the many applications of analytic AI are sentiment analysis and supplier risk assessment. Functional AI The purpose of functional AI is very similar to analytic AI — it scans vast amounts of data and tries to identify patterns and dependencies among them. Unlike analytic AI, functional AI takes actions rather than making recommendations. Using sensor data from a specific machine, an IoT cloud can, for instance, spot a pattern of potential machine breakdowns and act on it. A second example is the robots that Amazon employs to move the goods from the shelves to the pickers, thus speeding up the picking process. Interactive AI Businesses can automate communication with this type of AI without compromising on interaction. This type of AI can be visualized by imagining chatbots and smart personal assistants that can answer pre-programmed questions and understand the context of conversations. A company’s internal processes can be improved by using interactive AI. Text AI The use of Text AI can offer businesses the ability to recognize texts, convert speech to text, and translate content. This type of AI can be utilized even by companies that are not Google, Amazon, or any other giant companies that offer text AI services. An internal corporate knowledge base can be powered by text AI, for instance. When compared with a traditional knowledge base, which relies on keyword searching, an AI-enabled one can locate documents containing the most relevant information even if they do not contain keywords. AI can build semantic maps from natural language processing and recognize synonyms to understand the context of the user’s question thanks to semantic search and natural language processing. Visual AI Businesses can transform images and videos into insights by using visual AI to identify, recognize, classify, and sort objects. As an example, a machine that grades apples according to their colour and size or one that helps insurers estimate damage with damaged car photos constitutes visual AI. Computer vision and augmented reality are areas in which this type of AI can be applied. Self-awareness AI systems that are self-aware are among the lesser-known types of AI that currently exist only in theory. The ultimate goal of AI is to reach this phase. This technology would be explored and developed with the intention of achieving this phase of consciousness. Artificial intelligence systems that are self-aware would be so advanced and so in tune with the human brain that they would have a sufficient degree of self-",3
How is AI used in everyday life?,"What is Artificial Intelligence and How Does it Work? For Beginners! Demystifying Artificial Intelligence: Understanding AI Basics for Non-Programmers Charles Render · Follow 9 min read · Jul 27, 2023 Listen Share More Artificial Intelligence (AI) has emerged as a transformative technology that is reshaping industries and revolutionizing the way we live and work. For business owners, managers, and curious beginners, understanding the fundamentals of AI is essential for making informed decisions and harnessing its potential to drive growth and innovation. In this article, we will delve deep into the world of AI, exploring its core principles, practical applications, and future implications. Understanding Artificial Intelligence Artificial Intelligence encompasses the development of computer systems capable of performing tasks that traditionally require human intelligence. The field includes various subfields, each with its own focus and application. Machine learning is one such subfield, where algorithms enable computers to learn from data and improve their performance over time. Natural language processing focuses on enabling machines to understand and interact with human language, while computer vision enables machines to interpret and understand visual information. Robotics combines AI with physical systems to create intelligent machines capable of interacting with the physical world. Machine Learning: The Essence of AI Machine learning, a subset of AI, lies at the heart of many AI applications. It allows computers to learn from data and improve their performance over time without explicit programming. Machine learning algorithms identify patterns and relationships within data, extract meaningful insights, and make predictions or decisions based on those patterns. This ability to learn from experience enables machines to automate tasks, recognize speech, classify images, and more. Machine learning is a fundamental subset of AI that plays a crucial role in enabling computers to learn from data and improve their performance over time. It provides machines with the ability to automatically learn patterns, make predictions, and make decisions without explicit programming. In supervised learning, the algorithm learns from labeled examples to make predictions or classifications. It is provided with a dataset where each data point is associated with a target value or label. The algorithm analyzes the features of the data and learns to map them to the corresponding target value. This allows the algorithm to make accurate predictions or classifications for new, unseen data. For example, in a spam email classification system, the algorithm is trained on a dataset of labeled emails, where each email is classified as either spam or non-spam. By analyzing the features of the emails, such as the words used or the presence of certain keywords, the algorithm learns to distinguish between spam and non-spam emails. Once trained, it can accurately classify new emails as spam or non-spam. Unsupervised learning, on the other hand, involves learning from unlabeled data, where the algorithm is not provided with any target labels. The algorithm analyzes the patterns and structures in the data to discover inherent relationships and groupings. Clustering algorithms are commonly used in unsupervised learning to group similar data points together. For example, in customer segmentation, an unsupervised learning algorithm can analyze customer data based on various attributes and group customers into segments based on their similarities. Reinforcement learning is a different paradigm of machine learning where an agent learns to interact with an environment and takes actions to maximize a reward signal. The agent learns through trial and error, receiving feedback in the form of rewards or penalties for its actions. It explores the environment, learns which actions yield higher rewards, and adjusts its behavior accordingly. Reinforcement learning has been",3
What are some common heuristic search algorithms?,"Heuristic (computer science) In mathematical optimization and computer science, heuristic (from Greek εὑρίσκω ""I find, discover""[1]) is a technique designed for problem solving more quickly when classic methods are too slow for finding an exact or approximate solution, or when classic methods fail to find any exact solution in a search space. This is achieved by trading optimality, completeness, accuracy, or precision for speed. In a way, it can be considered a shortcut. A heuristic function, also simply called a heuristic, is a function that ranks alternatives in search algorithms at each branching step based on available information to decide which branch to follow. For example, it may approximate the exact solution.[2] The objective of a heuristic is to produce a solution in a reasonable time frame that is good enough for solving the problem at hand. This solution may not be the best of all the solutions to this problem, or it may simply approximate the exact solution. But it is still valuable because finding it does not require a prohibitively long time. Heuristics may produce results by themselves, or they may be used in conjunction with optimization algorithms to improve their efficiency (e.g., they may be used to generate good seed values). Results about NP-hardness in theoretical computer science make heuristics the only viable option for a variety of complex optimization problems that need to be routinely solved in real-world applications. Heuristics underlie the whole field of Artificial Intelligence and the computer simulation of thinking, as they may be used in situations where there are no known algorithms.[3] The trade-off criteria for deciding whether to use a heuristic for solving a given problem include the following: Optimality: When several solutions exist for a given problem, does the heuristic guarantee that the best solution will be found? Is it actually necessary to find the best solution? Completeness: When several solutions exist for a given problem, can the heuristic find them all? Do we actually need all solutions? Many heuristics are only meant to find one solution. Accuracy and precision: Can the heuristic provide a confidence interval for the purported solution? Is the error bar on the solution unreasonably large? Execution time: Is this the best-known heuristic for solving this type of problem? Some heuristics converge faster than others. Some heuristics are only marginally quicker than classic Definition and motivation Trade-off methods, in which case the 'overhead' on calculating the heuristic might have a negative impact. In some cases, it may be difficult to decide whether the solution found by the heuristic is good enough because the theory underlying heuristics is not very elaborate. One way of achieving the computational performance gain expected of a heuristic consists of solving a simpler problem whose solution is also a solution to the initial problem. An example of approximation is described by Jon Bentley for solving the travelling salesman problem (TSP): ""Given a list of cities and the distances between each pair of cities, what is the shortest possible route that visits each city exactly once and returns to the origin city?"" so as to select the order to draw using a pen plotter. TSP is known to be NP-hard so an optimal solution for even a moderate size problem is difficult to solve. Instead, the greedy algorithm can be used to give a good but not optimal solution (it is an approximation to the optimal answer) in a reasonably short amount of time. The greedy algorithm heuristic says to pick whatever is currently the best next step regardless of whether that prevents (or even makes impossible) good steps later. It is a heuristic in the sense that practice indicates it is a good enough solution, while theory indicates that there are better solutions (and even indicates how much better, in some cases).[4] Another example of heuristic making an algorithm faster occurs in certain search",2
What are some common heuristic search algorithms?,"Heuristic algorithms are techniques often used in the field of computer science and programming to achieve reasonably good solutions in a reasonable amount of time, especially when dealing with complex problems. In this article, we will discuss how heuristic algorithms utilize programming logic for efficient decision- making. Introduction to Heuristic Algorithms The term heuristic comes from the Greek word heuriskein, which means “to discover.” In the context of programming, heuristic algorithms are designed to solve problems quickly when traditional optimal approaches are impractical in terms of computational time. The primary aim of heuristic algorithms is to produce a “good enough” solution in a “fast enough” time, rather than seeking a perfect solution that requires unrealistic time. Applying Logic in Heuristic Algorithms Heuristic algorithms often involve rule-based or logical approaches to make decisions. Some examples of heuristic algorithms include search algorithms like A* (A-star), which uses logic to prioritize the most likely path to reach the goal at the lowest cost, or Greedy algorithms, which always make the best decision based on the current information. Here are examples of logic application in heuristic algorithms: 1. Greedy Algorithms: The logic in these algorithms is to always select the option that seems best at that moment, hoping that the best local choices will lead to the optimal global solution. In some cases, this approach might not yield the optimal solution, but it usually generates a good enough solution quickly. 2. A (A-star) Algorithms:* This algorithm uses logic to prioritize paths that seem likely to reach the goal with the lowest cost. This logic allows the algorithm to focus on the most promising paths and ignore paths unlikely to yield efficient solutions. Conclusion In programming, the use of heuristic algorithms leverages logic to achieve efficient decisions in a reasonable time. Although the resulting solutions might not be the most optimal, they are typically good enough for most practical applications. Learning and understanding how heuristic algorithms work can help you become a more efficient and effective programmer.",3
What are some common heuristic search algorithms?,"PUTDOWN(B), PICKUP(C), STACK(C,A), PICKUP(B), STACK(B,D)] The visual representation of our steps variable looks like this. 7/22 Visual representation of our steps. What is Heuristic ? A heuristic is a technique to solve a problem faster than traditional methods or find an approximate solution when classic methods fail or take exponential time. It is used in informed search techniques where the knowledge agent has some guesses about the cost/utility of the further steps and chooses the one which leads it towards optimal solution. Heuristic works on a “best guess” approach to solve problems that are difficult or impossible to solve using traditional algorithms. A heuristic provides a shortcut to problem-solving by guiding the search toward more promising paths and avoiding those that are unlikely to lead to a solution. 8/22 Knowledge Based Agent with heuristic. Let us understand with a real life scenario ! Imagine you’re lost in a huge maze and need to find your way out. You have a map, but it’s very complicated and difficult to understand. You start looking for a way out, but there are so many paths and dead-ends that it’s hard to know which way to go. This is where heuristics come in handy. A heuristic is like a shortcut or rule of thumb that helps you make decisions and find your way out of the maze faster. For example, you might use a heuristic like “always turn left at intersections” to help guide your way. This may not be the optimal strategy, but it gives you a direction to follow and helps you avoid going in circles. Heuristic Function In artificial intelligence, a heuristic function (also known as an evaluation function or simply a heuristic) is a function that estimates the potential usefulness or value of a particular action or state in a search problem. Heuristic functions are used in various AI algorithms, including search algorithms, machine learning, and game- playing programs. A heuristic function is typically designed to provide a quick and 9/22 approximate estimate of the value of a state or action, rather than a precise calculation. This is because many AI problems involve large search spaces, where it is impractical to explore every possible option. The heuristic function uses domain- specific knowledge to estimate the value of a state or action. This knowledge can come from various sources, such as expert advice, statistical analysis, or previous experience. Solving Problem using Heuristic While using Heuristic technique to solve the problem, it gives an estimated cost for all the successors of the particular state. The heuristic function value represents the cost it will take to reach from nth state to final goal. Now this gives the knowledge agent information in prior of taking the next step, here the Knowledge agent will think intelligently and choose the next state based on the minimum heuristic value When solving a problem using heuristic methods, there are several steps you can follow: Define the problem: Clearly define the problem you want to solve. What is the goal you want to achieve? What are the constraints or limitations? Generate potential solutions: Brainstorm possible solutions or strategies that could help you achieve your goal. Evaluate each solution: Consider the advantages and disadvantages of each solution. Which solutions seem most promising? Which are unlikely to work? Choose a heuristic: Select a heuristic or rule of thumb that could help guide your search for a solution. This heuristic should be based on your knowledge of the problem domain and your past experience. Apply the heuristic: Use the heuristic to guide your search for a solution. This might involve testing different options or paths, and making decisions based on the heuristic’s guidance. Evaluate the results: Did the heuristic lead you to a satisfactory solution? If not, you may need to revise your heuristic or try a different approach. Iterate: If necessary, repeat the process with a new heuristic or a revised approach",2
What are some common heuristic search algorithms?,"Searching entails locating a solution or the most efficient path within a given problem space in AI. It requires examining various states or configurations to achieve the desired goal state or identify the optimal solution. Informed search comprises search algorithms that leverage domain-specific information or heuristics to efficiently find the goal state in a search space. These algorithms make informed decisions on which path to explore, avoiding blind exploration of all possibilities. In AI, a heuristic is a problem-solving technique that uses practical rules or educated guesses to find solutions more quickly and efficiently. It provides a guiding principle or estimation to assess which actions or paths are more promising in reaching the goal state. Heuristics are often employed in informed search algorithms like Best First Search, A* search (discussed in a later section)to prioritize exploration of states that are likely to lead to the desired outcome, effectively reducing search complexity. However, the accuracy of heuristics heavily influences the algorithm’s performance and the quality of the solutions found. Best First Search Search: The primary objective of the best-first search is to expand the most promising nodes by relying on an evaluation function or heuristic. It exploits the benefits of both BFS (Breadth First Search) and DFS (Depth First Search)strategies. The best first search can switch between BFS (Breadth First Search) and DFS (Depth First Search) by gaining the advantages of both algorithms. We expand the node which is closest to the goal node and the closest cost is estimated by heuristic function h(n), f(n) = h(n) Here are the steps involved in the best-first search algorithm: 1. Initialization: Start with an initial state as the current state and create an empty priority queue to store the nodes. 2. Priority Queue: Add the initial state to the priority queue, considering the evaluation function or heuristic value for each state. 3. Loop: Repeat the following steps until either a goal state is found or the priority queue is empty. 4. Select Node: Dequeue the node with the highest priority (the lowest heuristic value) from the priority queue. This node represents the most promising state to explore next. 5. Goal Test: Check if the selected node is a goal state. If it is, the search is complete, and the solution is found. 6. Expand Node: Generate all possible successor states from the selected node. 7. Add to Queue: For each successor state, calculate its heuristic value using the evaluation function and add it to the priority queue. 8. Repeat: Continue the loop, selecting the next most promising node from the priority queue. Example: Graph Given Heuristic value In this search example, we utilize two lists: OPEN and CLOSED Lists. These lists help in managing and tracking the exploration of nodes during the search process. Expand the nodes of S and put them in the CLOSED list Initialization: Open [A, B], Closed [S] 3/9 Iteration 1: Open [A], Closed [S, B] Iteration 2: Open [E, F, A], Closed [S, B] : Open [E, A], Closed [S, B, F] Iteration 3: Open [I, G, E, A], Closed [S, B, F] : Open [I, E, A], Closed [S, B, F, G] Hence the final solution path will be: S — → B — — ->F — → G",3
What are some common heuristic search algorithms?,"information of the essential building blocks for the HH proposed in this paper. First, it is detailed the HH by mentioning their importance, their classiﬁcation, and the most commonly used techniques. Subsequently, the SA algorithm, as well as the Metropolis criterion, are presented. Then, the most used algorithms to deal with multi-armed bandit problems are detailed. Finally, the most commonly used improvement heuristics are shown. 4.1. Hyper-heuristics HHs represent a class of high-level automated search techniques that aim to raise the level of generality and robustness with which search methods work to solve more complex problems. These algorithms explore a search space of low-level heuristics that can be neighborhood or movement oper- ators, heuristic or metaheuristic algorithms. The two main categories of HH are heuristic generators and heuristic selectors. The generation of heuristics are methodologies used to create new heuristics from components of the existing ones. On the other hand, heuristics selection are methodologies to choose a heuristic among a set. The subject of this research will be the category of HH for selection, which controls a set of low-level heuristics during an iterative search process. A generic heuristic selection consists of two key components, which are heuristic selection and move acceptance. As the name implies, the heuristic selection strategy must choose the most ap- 6 propriate from a set of low-level heuristics at a certain point in the search process. While in the movement acceptance strategy, it is decided whether or not to accept the solution generated with the previous component. The most commonly used heuristic selection techniques are listed below. Among the most straightforward methods are random selection and random gradient, which consists of selecting a heuristic randomly and applying it iteratively until there is no improvement in ﬁtness. Also, the greedy search uses all the perturbative heuristics from the available set and chooses the one with the best ﬁtness (Pillay and Qu, 2018). On the other hand, strategies more commonly used by metaheuristic algorithms such as tournament selection and roulette wheel have also been used. In the roulette wheel strategy, each heuristic is associated with a probability calculated by dividing each score by the total score. Then a heuristic is randomly selected based on these probabilities. While tournament selection, a set of heuristics of ﬁxed size is randomly selected to perform several tournaments, and the heuristic that solves with the best ﬁtness is selected (Burke et al., 2013). RL has also been used successfully, assigning scores to each heuristic within the available pool. A score is assigned to each heuristic with the RL methods based on its performance during the iterative process. During this process, by trial and error, the system tries to learn what heuristics to take by evaluating the status and accumulated rewards of the actions (Burke et al., 2013). In the same way, the most commonly used movement acceptance techniques are presented. The simplest strategy is to accept all moves regardless of the quality of the solutions, and another simple approach is to take motions that improve the solution’s ﬁtness. Local search techniques such as simulated annealing, late acceptance hill-climbing, and great deluge have also been used according to each of their speciﬁc strategies (Pillay and Qu, 2018). 4.2. Simulated annealing This metaheuristic algorithm inspired by the physical process of annealing solid metals in metal- lurgy was proposed by Kirkpatrick et al. in 1983 to solve both global and combinatorial optimization problems (Kirkpatrick et al., 1983). Taking the thermodynamic system as a reference, a candidate solution is generated in each it- eration, considering improvement heuristics. The new candidate solution is accepted or rejected according to the Metropolis relation. This acceptance criterion is shown in Equation 2 and is",1
What is an artificial neural network (ANN)?,"A Deep Architecture: Multi-Layer Perceptron Ninad Lunge · Follow 7 min read · Mar 24, 2024 Listen Share More Before beginning with the Perceptron, it is essential that we have some basic understanding about Artificial Neural Networks. An artificial neural network (ANN) is a machine learning model inspired by the structure and function of the human brain’s interconnected network of neurons. It consists of interconnected nodes called artificial neurons, organized into layers. Information flows through the network, with each neuron processing input signals and producing an output signal that influences other neurons in the network. A multi-layer perceptron (MLP) is a type of artificial neural network consisting of multiple layers of neurons. The neurons in the MLP typically use nonlinear activation functions, allowing the network to learn complex patterns in data. MLPs are significant in machine learning because they can learn nonlinear relationships in data, making them powerful models for tasks such as classification, regression, and pattern recognition. Perceptron: Perceptron was introduced by Frank Rosenblatt in 1957. A Perceptron is an algorithm for supervised learning of binary classifiers. This algorithm enables neurons to learn and processes elements in the training set one at a time. A Perceptron Multilayer Perceptron: A multilayer perceptron is a type of feedforward neural network consisting of fully connected neurons with a nonlinear kind of activation function. It is widely used to distinguish data that is not linearly separable. MLPs have been widely used in various fields, including image recognition, natural language processing, and speech recognition, among others. Their flexibility in architecture and ability to approximate any function under certain conditions make them a fundamental building block in deep learning and neural network research. Some of its key concepts are as follows: Input layer: The input layer consists of nodes or neurons that receive the initial input data. Each neuron represents a feature or dimension of the input data. The number of neurons in the input layer is determined by the dimensionality of the input data. Hidden layer: Between the input and output layers, there can be one or more layers of neurons. Each neuron in a hidden layer receives inputs from all neurons in the previous layer (either the input layer or another hidden layer) and produces an output that is passed to the next layer. The number of hidden layers and the number of neurons in each hidden layer are hyperparameters that need to be determined during the model design phase. Output layer: This layer consists of neurons that produce the final output of the network. The number of neurons in the output layer depends on the nature of the task. In binary classification, there may be either one or two neurons depending on the activation function and representing the probability of belonging to one class; while in multi- class classification tasks, there can be multiple neurons in the output layer. Weights: Neurons in adjacent layers are fully connected to each other. Each connection has an associated weight, which determines the strength of the connection. These weights are learned during the training process. Bias Neurons: In addition to the input and hidden neurons, each layer (except the input layer) usually includes a bias neuron that provides a constant input to the neurons in the next layer. The bias neuron has its own weight associated with each connection, which is also learned during training. The bias neuron effectively shifts the activation function of the neurons in the subsequent layer, allowing the network to learn an offset or bias in the decision boundary. By adjusting the weights connected to the bias neuron, the MLP can learn to control the threshold for activation and better fit the training data. Activation Function: Typically, each neuron in the hidden layers and the output layer applies an activation",3
